time,X,Y,Z
0.012779951095581055,-0.25147705,0.58139104,-8.56638622
0.0390625,-0.2335144,0.59216861,-8.59333038
0.06535625457763672,-0.26764345,0.58917479,-8.55201625
0.0916590690612793,-0.24788453,0.56881713,-8.53046131
0.11797285079956055,-0.22812561,0.58198976,-8.52626991
0.1442725658416748,-0.24189698,0.57061343,-8.55381298
0.1705765724182129,-0.25327334,0.59456357,-8.52028274
0.19687604904174805,-0.24908204,0.59875488,-8.54183769
0.2231907844543457,-0.23291566,0.57899599,-8.57117652
0.24946856498718262,-0.24010071,0.57600221,-8.56638622
0.2757754325866699,-0.25327334,0.58139104,-8.55081844
0.3020961284637451,-0.25147705,0.5855823,-8.54782485
0.32839107513427734,-0.25506958,0.58079223,-8.53704738
0.35470056533813477,-0.23291566,0.58198976,-8.56039905
0.3810148239135742,-0.2496808,0.59456357,-8.59273147
0.40731048583984375,-0.27602601,0.57839722,-8.54183769
0.4336123466491699,-0.25746462,0.57300844,-8.54842376
0.45992088317871094,-0.24908204,0.5736072,-8.57656574
0.4862205982208252,-0.24788453,0.57300844,-8.54662799
0.5125348567962646,-0.26704468,0.57839722,-8.56638622
0.5388369560241699,-0.26524841,0.55983586,-8.58015823
0.5651328563690186,-0.26405091,0.57779846,-8.53644847
0.5915145874023438,-0.24309449,0.58198976,-8.54842376
0.6178252696990967,-0.2616559,0.58198976,-8.55201625
0.6441352367401123,-0.2245331,0.57240967,-8.53345489
0.6704273223876953,-0.2616559,0.58618106,-8.51669025
0.6967918872833252,-0.25147705,0.57420592,-8.54183769
0.7230484485626221,-0.26105713,0.5795947,-8.51609134
0.7493481636047363,-0.28081605,0.57420592,-8.55022048
0.7756533622741699,-0.2628534,0.58857607,-8.55321407
0.8019556999206543,-0.24129822,0.57719974,-8.54602909
0.8282654285430908,-0.27183473,0.60354495,-8.54063987
0.8545656204223633,-0.26405091,0.5795947,-8.54063987
0.880878210067749,-0.25447082,0.58618106,-8.54243659
0.907184362411499,-0.25626709,0.57660098,-8.54962158
0.933488130569458,-0.25087831,0.57839722,-8.55680656
0.9597933292388916,-0.25806336,0.57001466,-8.52028274
0.9861197471618652,-0.2496808,0.5736072,-8.56219482
1.012406349182129,-0.24848327,0.58677983,-8.55980014
1.0387122631072998,-0.22992186,0.57660098,-8.56279373
1.0650155544281006,-0.22812561,0.57660098,-8.54722595
1.091322898864746,-0.24249572,0.59156985,-8.56758403
1.1176376342773438,-0.24369325,0.57660098,-8.53165912
1.1439321041107178,-0.24668703,0.60354495,-8.50291824
1.1702423095703125,-0.24429199,0.57899599,-8.52926349
1.1965713500976562,-0.25926086,0.58618106,-8.55381298
1.222841501235962,-0.25387206,0.58318729,-8.55680656
1.249164342880249,-0.26105713,0.57061343,-8.52028274
1.2754487991333008,-0.23590943,0.57240967,-8.55800437
1.3017592430114746,-0.27303223,0.5855823,-8.5430355
1.3280649185180664,-0.27003846,0.5795947,-8.53046131
1.3545255661010742,-0.25267457,0.58857607,-8.53285598
1.3806707859039307,-0.26405091,0.57899599,-8.5382452
1.4069983959197998,-0.25566835,0.59037232,-8.57057762
1.4332823753356934,-0.25626709,0.5855823,-8.54782485
1.4595818519592285,-0.24489076,0.58438482,-8.525671
1.4858880043029785,-0.24728579,0.58797736,-8.55381298
1.512200117111206,-0.24369325,0.60593996,-8.57237434
1.538501262664795,-0.23171815,0.57719974,-8.5214796
1.5647985935211182,-0.24189698,0.58857607,-8.52746772
1.5911054611206055,-0.27003846,0.56522464,-8.52327632
1.6174068450927734,-0.26225466,0.58139104,-8.5430355
1.6437172889709473,-0.25447082,0.57899599,-8.55860233
1.670030117034912,-0.25686585,0.58917479,-8.581954
1.696333885192871,-0.2454895,0.58258857,-8.54483127
1.7226474285125732,-0.24249572,0.56342835,-8.54722595
1.7489523887634277,-0.27602601,0.57600221,-8.53345489
1.7752583026885986,-0.26045837,0.58318729,-8.52746772
1.8015663623809814,-0.26644592,0.5795947,-8.54423236
1.827871561050415,-0.24249572,0.58258857,-8.55201625
1.8541693687438965,-0.26584718,0.58378601,-8.54902267
1.8804810047149658,-0.25806336,0.57480473,-8.52866458
1.906808853149414,-0.25506958,0.5795947,-8.52806663
1.9330832958221436,-0.25447082,0.57420592,-8.581954
1.9593887329101562,-0.25387206,0.57420592,-8.54363346
1.985692024230957,-0.24489076,0.57600221,-8.55261516
2.011998176574707,-0.23531067,0.55624332,-8.51908493
2.0382988452911377,-0.25506958,0.57300844,-8.5430355
2.0646111965179443,-0.25626709,0.57480473,-8.55321407
2.090927839279175,-0.24728579,0.59815616,-8.54243659
2.1172311305999756,-0.24668703,0.57300844,-8.53584957
2.1435317993164062,-0.2454895,0.56402711,-8.53764629
2.169835329055786,-0.24908204,0.58258857,-8.54183769
2.1961464881896973,-0.25746462,0.5795947,-8.53225708
2.2224409580230713,-0.25806336,0.57660098,-8.54243659
2.248756170272827,-0.24848327,0.58318729,-8.55740547
2.275059938430786,-0.25806336,0.59037232,-8.56518936
2.3013672828674316,-0.24848327,0.58258857,-8.55261516
2.327664852142334,-0.26345217,0.57420592,-8.54902267
2.3539698123931885,-0.21734805,0.56941595,-8.5867443
2.3802719116210938,-0.25027954,0.57001466,-8.53704738
2.40661883354187,-0.24728579,0.59037232,-8.53644847
2.432891368865967,-0.26704468,0.58258857,-8.57177543
2.4591925144195557,-0.26464965,0.58917479,-8.55680656
2.485490083694458,-0.27063722,0.58378601,-8.56459045
2.5117952823638916,-0.25626709,0.58258857,-8.55920124
2.538111925125122,-0.24848327,0.57899599,-8.53525161
2.5644021034240723,-0.24908204,0.58258857,-8.54602909
2.5907275676727295,-0.24728579,0.57420592,-8.56518936
2.6170406341552734,-0.27123596,0.58917479,-8.55141735
2.643331289291382,-0.2616559,0.57181096,-8.56339263
2.669645309448242,-0.2598596,0.5795947,-8.53525161
2.695941686630249,-0.26824221,0.58498353,-8.51309776
2.72225022315979,-0.24728579,0.57121219,-8.54183769
2.748547077178955,-0.24309449,0.57420592,-8.57476902
2.774857997894287,-0.25447082,0.58677983,-8.5340538
2.8011672496795654,-0.24429199,0.59097108,-8.56279373
2.827470302581787,-0.25027954,0.60114994,-8.58794212
2.8537721633911133,-0.24788453,0.57839722,-8.5430355
2.8800790309906006,-0.25387206,0.58258857,-8.44783306
2.9063780307769775,-0.25207581,0.57540345,-8.54363346
2.932690143585205,-0.26524841,0.57420592,-8.54363346
2.95898699760437,-0.26524841,0.59396486,-8.55500984
2.985302209854126,-0.24249572,0.57181096,-8.52866458
3.011600971221924,-0.24309449,0.57480473,-8.5388441
3.037914276123047,-0.27063722,0.58498353,-8.5430355
3.0642197132110596,-0.25087831,0.56881713,-8.56279373
3.0905258655548096,-0.24189698,0.58498353,-8.54902267
3.1168434619903564,-0.25626709,0.58917479,-8.55560874
3.1431264877319336,-0.26105713,0.58378601,-8.57656574
3.1694493293762207,-0.26943969,0.56702089,-8.53764629
3.1957523822784424,-0.24429199,0.58079223,-8.53704738
3.222046136856079,-0.24908204,0.57839722,-8.53644847
3.248354196548462,-0.23531067,0.59456357,-8.525671
3.2746503353118896,-0.25806336,0.58618106,-8.54243659
3.301409959793091,-0.27063722,0.59097108,-8.57536792
3.3272688388824463,-0.26764345,0.59875488,-8.54004096
3.3535773754119873,-0.25147705,0.57420592,-8.54183769
3.3798739910125732,-0.24788453,0.59097108,-8.55081844
3.4061906337738037,-0.25626709,0.5855823,-8.55381298
3.4324944019317627,-0.26584718,0.58019351,-8.55201625
3.4587900638580322,-0.26405091,0.57300844,-8.53106021
3.4851295948028564,-0.25087831,0.57899599,-8.56698513
3.5114126205444336,-0.25147705,0.57540345,-8.56339263
3.537724494934082,-0.25566835,0.57779846,-8.54902267
3.56402587890625,-0.28141479,0.60713748,-8.57417011
3.5903308391571045,-0.2598596,0.57540345,-8.57536792
3.6166739463806152,-0.25087831,0.58318729,-8.56219482
3.6429378986358643,-0.25207581,0.58737854,-8.61488533
3.6692306995391846,-0.25207581,0.5795947,-8.54004096
3.6955511569976807,-0.23950197,0.58737854,-8.54722595
3.7218515872955322,-0.2628534,0.60893373,-8.58015823
3.748166561126709,-0.24728579,0.58198976,-8.54123878
3.7744596004486084,-0.25926086,0.58318729,-8.55920124
3.8007712364196777,-0.27422974,0.58498353,-8.53944206
3.8270812034606934,-0.2245331,0.59097108,-8.54902267
3.8533740043640137,-0.25087831,0.57480473,-8.55261516
3.879678249359131,-0.25926086,0.57779846,-8.525671
3.9059767723083496,-0.27003846,0.58139104,-8.57836151
3.9322941303253174,-0.25327334,0.57899599,-8.55321407
3.958599090576172,-0.25447082,0.56941595,-8.55141735
3.984895944595337,-0.23291566,0.58618106,-8.59033679
4.01120924949646,-0.25746462,0.56881713,-8.52088069
4.0375120639801025,-0.27482848,0.5736072,-8.52746772
4.06382417678833,-0.27063722,0.58079223,-8.54183769
4.090123176574707,-0.24728579,0.5795947,-8.55261516
4.116414546966553,-0.25327334,0.57660098,-8.55980014
4.142731189727783,-0.25327334,0.58438482,-8.55441093
4.1690287590026855,-0.23710694,0.57420592,-8.53644847
4.195356369018555,-0.27422974,0.57121219,-8.52447319
4.2216432094573975,-0.25686585,0.57240967,-8.55141735
4.247948169708252,-0.24489076,0.59396486,-8.57297325
4.274242877960205,-0.25566835,0.57540345,-8.53644847
4.300548791885376,-0.24608826,0.5855823,-8.55201625
4.326884031295776,-0.24309449,0.58737854,-8.56698513
4.35316014289856,-0.26704468,0.57181096,-8.55500984
4.379467248916626,-0.25207581,0.57600221,-8.58075618
4.405768156051636,-0.27722353,0.58258857,-8.55500984
4.432075500488281,-0.28141479,0.55265083,-8.54662799
4.45837664604187,-0.25506958,0.58019351,-8.57117652
4.484694242477417,-0.25447082,0.5676197,-8.54842376
4.510985612869263,-0.27422974,0.56702089,-8.52088069
4.537347078323364,-0.24189698,0.58258857,-8.55500984
4.563603401184082,-0.25207581,0.59097108,-8.56399154
4.589908123016357,-0.22213807,0.59097108,-8.55860233
4.616214990615845,-0.25447082,0.57719974,-8.55441093
4.642535209655762,-0.26584718,0.56941595,-8.55321407
4.6688361167907715,-0.24728579,0.57300844,-8.56219482
4.695154666900635,-0.23111939,0.58198976,-8.55381298
4.721454858779907,-0.26644592,0.57719974,-8.5340538
4.74776029586792,-0.24728579,0.56642217,-8.54902267
4.774057626724243,-0.25027954,0.5676197,-8.56099796
4.800363779067993,-0.2454895,0.58139104,-8.54842376
4.826714754104614,-0.24848327,0.60055117,-8.5430355
4.852981805801392,-0.23650817,0.56043457,-8.52447319
4.879288911819458,-0.25447082,0.58318729,-8.54782485
4.905594110488892,-0.26345217,0.59635992,-8.53584957
4.931894540786743,-0.26225466,0.57600221,-8.59333038
4.958204746246338,-0.24848327,0.59336609,-8.54063987
4.984520673751831,-0.25267457,0.58139104,-8.54183769
5.010829448699951,-0.25746462,0.58438482,-8.51429462
5.037151098251343,-0.24788453,0.58258857,-8.54962158
5.063486576080322,-0.26644592,0.58079223,-8.54123878
5.08974289894104,-0.23471193,0.59037232,-8.55680656
5.116064548492432,-0.23052062,0.56522464,-8.56997871
5.1423499584198,-0.25626709,0.58139104,-8.55860233
5.168663024902344,-0.24489076,0.56462583,-8.5340538
5.1949756145477295,-0.2335144,0.57121219,-8.525671
5.221278429031372,-0.26225466,0.57600221,-8.56578731
5.247592926025391,-0.25447082,0.59875488,-8.55920124
5.273892402648926,-0.25806336,0.58318729,-8.54483127
5.300226211547852,-0.26345217,0.56941595,-8.54483127
5.326540946960449,-0.25746462,0.58618106,-8.54902267
5.352903127670288,-0.26345217,0.56702089,-8.53944206
5.379117250442505,-0.2616559,0.57839722,-8.54363346
5.4054155349731445,-0.24489076,0.56702089,-8.55261516
5.431718826293945,-0.25087831,0.57899599,-8.53106021
5.458028316497803,-0.27063722,0.58019351,-8.56578731
5.484338045120239,-0.24848327,0.59276733,-8.56099796
5.510651111602783,-0.27303223,0.58917479,-8.55201625
5.536965370178223,-0.27063722,0.5795947,-8.5298624
5.56325888633728,-0.26764345,0.58677983,-8.55261516
5.589556932449341,-0.24129822,0.57300844,-8.56159687
5.615867614746094,-0.24908204,0.56282958,-8.57117652
5.642168045043945,-0.24788453,0.56821842,-8.51908493
5.66847825050354,-0.26464965,0.59037232,-8.52327632
5.694803476333618,-0.26644592,0.5795947,-8.54063987
5.721081733703613,-0.24010071,0.57540345,-8.57117652
5.747405767440796,-0.25866212,0.58378601,-8.57057762
5.773691415786743,-0.26405091,0.56043457,-8.57057762
5.800003290176392,-0.26584718,0.59935369,-8.51130104
5.826317071914673,-0.26824221,0.56881713,-8.55141735
